,시나리오 대사 및 관련 퀘스트 목록,,,,,,,,,는 '으로 표기'  줄바꿈 = \n' 공백포함 최대 27자
메인,인덱스,챕터,ID,장소,대사 주체,대사,팝업,퀘스트ID,비고,
0,1,튜토리얼,tuto_1_1,방 안,백하나,벌써 이 곳에 온지 일주일이 지났다.,,,,Won
,2,,,,,여전히 하늘은 푸르고 바다는 잠잠하다.,,,,
,3,,,,,내가 여기에 온 이유는 단순하다.\n바로 해녀가 되기 위해서 이다.,,,,
,4,,,,,다니던 직장을 그만두고\n도망치듯이 바다를 찾아서 들어왔다.,,,,
,5,,,,,이곳에서는 나를 받아줄까?,,,,
,6,,tuto_1_2,,강재원,안녕하세요? 저는 옆 집에 사는 강재원이라고 해요!\n보니까 옆 집에 이사온지 일주일이 되어가는 것 같은데,,,똑똑 두드리는 소리난 후,
,,,,,,나오는 모습을 못봐서 살아있나 싶어서 찾아와봤어요!,,,,
,7,,,,,건강해 보여서 다행이예요!\n 여기 주변에는 진짜 아무것도 없는데 \n한달 살기 하러 온거예요?,,,,
,,,,,,편하게 힐링하고 가! \n가끔씩 지나가다 마주치면 인사할게요!,,,,
,8,,,,백하나,재원이라는 아이는 나보다 훨씬 앳되어 보였고\n눈에 띄게 쾌활한 사람처럼 보였다.,,,,
,,,,,, 초면임에도 불구하고 나에게 밝은 미소로\n말을 걸어왔다.,,,,
,9,,,,,그리고 눈에 띄이는 부분은 그 애가 입고 있던\n옷이었다.,,,,
,10,,,,백하나,해녀복? 아니 해남복인가..?,,,,
,11,,,,강재원,앗! 맞아요! 저는 태어날 때 부터 이 마을에서\n살았는데 여기가 해녀 마을로 유명한 곳이거든요!\n제 친누나가 해녀예요!,,,,
,12,,,,,혹시... 해녀에 관심있어요?,,,,
,13,,,,백하나,아..네..! 사실 이곳에 온 이유도\n해녀가 되고싶어서 온거예요...!,,,,
,14,,,,강재원,...! 저 이제부터 바다로 나갈건데\n혹시 관심있으면 보러 와요!,,,,
,,,,,,할머니가 좀 깐깐하시긴 한데' \n잘 부탁드리면 해녀 일을 배울 수 있을지도 몰라요!,,,,
,15,,,,백하나,엇.. 지금?,,,,
,16,,,,강재원,앗 그러고보니 해녀복이 없겠네요\n음..잠시만요?!,,,끼익 쿵 하는 소리와 재원이 없어졌다가 문열리는 소리와 함께 다시 나타남,
,17,,,,,여기 해녀복이요!\n누나 꺼 스페어 해녀복 가져왔는데\n체구가 비슷해서 맞을 것 같아요!,고무옷' 수경' 오리발 획득 팝업 / 퀘스트 팝업,q_tuto_1' q_tuto_2,,
,,,,,, 이거 입고 바다쪽으로 나와요! 기다리고 있을게요!,,,,
1,18,,tuto_1_3,해변,강재원,아 나와주셨네요! 이쪽은 다영 누님이예요!\n오늘은 할머니는 안나오시는 날이고\n누나도 쉬는 날이라서 저희 두명이예요!,,,,Won
,19,,,,백하나,안녕하세요' 저는 백하나라고 합니다..\n 해녀가 되고 싶어서 이 곳으로 이사오게 되었어요..!,,,,
,20,,,,이다영,안녕? 나는 이다영이라고 하고' 해녀 일을 시작한지는..\n이제 15년 정도 됐어.,,,,
,21,,,,,해녀가 되고싶어서 오는 젊은 아이는 처음이네!\n,,,,
,,,,,,다들 도시로 가고싶어하는 것만 봤지' 이쪽으로\n오고싶어하는 사람은 본 적이 없었는데 신기하네.,,,,
,22,,,,,왜 해녀가 되고싶은거야?\n아 이거 너무 꼰대같은 발언인가?\n말하기 싫으면 안해도 돼!,,,,
,23,,,,백하나,...그냥 바다가 좋아서요ㅎㅎ,,,,
,24,,,,이다영,그래! 뭐' 재원이가 민서 꺼 해녀복을\n빌려준 모양인데' 이왕 해녀복까지 입은거'\n도구도 내꺼 스페어를 빌려줄게!,칼' 호미' 작살 획득 팝업,q_tuto_3,,
,25,,,,,내가 준 도구들을 착용하고\n바다 아래로 내려가서 3m까지 내려갔다 와봐!,,q_tuto_4,,
,26,,,,,도중에 체력이 안 될 것 같으면\n테왁을 이용하면 위로 올라올 수 있어!,퀘스트 팝업,,,
2,27,,tuto_1_4,,이다영,잘했어! 초보같지 않은 실력인걸?\n보상으로 장비를 업그레이드 해줄게!,리워드 획득 팝업 #1,,,
3,28,,,,강재원,이번에는 제일 간단한 해산물들을 수집해봐요!\n정말 간단한거니까 걱정하지 않아도 돼요!,,,,
,29,,,,,전복 3개' 감태 2개' 살오징어 1개를\n수집해오세요!,퀘스트 팝업,q_tuto_5,,
,,,,,,오늘 내로 가져오시면 내일 바로 리더님께\n말씀드려서 특별 훈련 받게 해드릴게요!,,,,
4,30,,,,강재원,와! 정말 오늘 내로 가져오셨네요!\n이렇게 바로 가져오실 줄은 몰랐는데\n진짜 재능이 있는 걸지도 몰라요!,,,,
,31,,,,,약속대로 내일 리더님께\n하나 씨의 영입을 말씀드려볼게요!,,,,
,,,,,,내일 아침' 일어나자마자 바다로 오세요!,,,,
