"최대 16자 메인","퀘스트 리스트 링크: 인덱스","https://deciduous-heaven-4b2.notion.site/945ddd98362248908d36b7e64c43bf22 퀘스트 타입","ID","퀘스트 타입","퀘스트 이름","퀘스트 상세 내용","해산물 이름","갯수","조건","관련 NPC","해당 시나리오 ID","비고","구현 여부"
"0","1","tutorial","q_tuto_1","-","해녀복 착용하기","옷장을 클릭하여 인벤토리에서\n고무옷' 수경' 오리발을 착용하자","-","","","강재원","tuto_1_2","",""
"","2","","q_tuto_2","-","바다로 가보기","재원을 따라서 바다로 나가보자.\n문을 클릭하여 바다가기를\n클릭하면 나갈 수 있다","-","","","","","",""
"1","3","","q_tuto_3","-","도구 착용하기","다영이 준 칼' 호미' 작살을\n인벤토리 (캐릭터가 들고 있는\n테왁 클릭) 에서 클릭하여 착용하자","-","","","이다영","tuto_1_3","",""
"","4","","q_tuto_4","C","3m 까지 버티기","바다 속으로 입수하여 3m까지 잠수해보자","-","","3m까지 잠수","","","",""
"3","","","q_tuto_5","B","기본 재료 수집하기","전복 3개' 감태 2개'\n살오징어 1개를 수집해오자","전복","3","","","","",""
"","","","","","","","감태","2","","","","",""
"","5","","","","","","살오징어","1","","강재원","tuto_1_4","",""
"4","6","","q_tuto_6","-","집으로 가서 잠자기","집으로 돌아가서 자고 일어나서\n바다로 나가자","-","","","","","",""
"6","","","q_tuto_7","A","잠수 실력을 입증하자 (1)","n초 이하로 전복 3개'\n감태 2개' 살오징어 1개를 수집해오자","전복","3","","","","",""
"","","","","","","","감태","2","","","","",""
"","7","","","","","","살오징어","1","","윤수연","","",""
"7","","","q_tuto_8","D","요리에 필요한 재료를 수집하자 (1)","감태 5개'\n살 오징어 3개를 수집하자","-","","","","tuto_1_5","",""
"","","","","","","","감태","5","","","","",""
"","8","","","","","","살오징어","3","","강민서","","",""
"9","","","q_tuto_9","D","요리에 필요한 재료를 수집하자 (2)","전복 5개' 굴 4개'\n대개 3개'\n가다랑어 3개를 수집하자","전복","5","","","tuto_1_6","",""
"","","","","","","","굴","4","","","","",""
"","9","","","","","","대게","3","","","","",""
"","","","","","","","가다랑어","3","","","","",""
"10","10","","q_tuto_10","A","7m 까지 버티기","바다 속으로 입수하여\n7m까지 잠수해보자","-","","7m까지 잠수","이다영","","",""
"","11","","q_tuto_11","B","새로운 종류의 재료 수집하기","도화 새우 3개를 수집하자","도화 새우","3","","강재원","","",""
"12","","","q_tuto_12","A","잠수 실력을 입증하자 (2)","n초 이하로 7m까지\n내려가서 소라' 해삼'\n감태를 3개씩 수집하기","소라","3","n초 이하로 7m까지 잠수","윤수연","tuto_1_7","",""
"","","","","","","","해삼","","","","","",""
"","12","","","","","","감태","","","","","",""
"","","","q_tuto_13","D","요리에 필요한 재료를 수집하자 (3)","굴 3개' 감태 3개'\n가다랑어 2개를 수집","굴","3","","강민서","","",""
"","","","","","","","감태","3","","","","",""
"","13","","","","","","가다랑어","2","","","","",""
"15","","","q_tuto_14","B","초보 해녀의 훈련 (1)","전복 3개' 굴2개'\n대게 3개' 꽃게 2개'\n감태 1개' 가리비 3개'\n살 오징어 1개'\n가다랑어 1개 수집하기","전복","3","","강재원","tuto_1_8","",""
"","","","","","","","굴","2","","","","",""
"","","","","","","","대게","3","","","","",""
"","","","","","","","꽃게","2","","","","",""
"","","","","","","","감태","1","","","","",""
"","14","","","","","","가리비","3","","","","",""
"","","","","","","","살오징어","1","","이다영","","",""
"","","","","","","","가다랑어","1","","","","",""
"","15","","q_tuto_15","A","8m 까지 버티기","바다 속으로 입수하여 8m까지\n잠수해보자","-","","8m까지 잠수","","","",""
"17","","","q_tuto_16","B","초보 해녀의 훈련 (2)","소라 3개' 조개 2개'\n도화 새우 3개' 가리비 1개'\n감태 3개' 살오징어 2개\n수집하기","소라","3","","강재원","","",""
"","","","","","","","조개","2","","","","",""
"","","","","","","","도화새우","3","","","","",""
"","","","","","","","가리비","1","","","","",""
"","","","","","","","감태","3","","","","",""
"","16","","","","","","살오징어","2","","","","",""
"19","","","q_tuto_17","A","잠수 실력을 입증하자 (3)","n초 이하로 10m까지 내려가서\n가리비 3개' 꽃개 2개'\n전복 2개' 굴 2개를\n수집해오자","가리비","3","n초 이하로 10m까지 잠수","윤수연","tuto_1_9","",""
"","","","","","","","꽃게","2","","","","",""
"","","","","","","","전복","2","","","","",""
"","17","","","","","","굴","2","","","","",""
